MONTH,DAY,TRANSACTION_ID,TRANSACTION_AMT,QTY,PRICE,ITEM,ITEM_ID,BRAND,BRAND_ID
M2,16,T1002,20,4,5,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M3,7,T1002,717,1,86,CLEANERS - FLOOR,19,RECKITT BENCKISER,267
M3,7,T1002,717,1,160,TOILET SOAPS (04/00),73,RECKITT BENCKISER,267
M3,7,T1002,717,1,29,CLEANERS - UTENSIL,22,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1002,717,1,47,TOOTH PASTES,75,COLGATE-PALMOLIVE,61
M3,7,T1002,717,2,9.5,TOILET SOAPS (04/00),73,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1002,717,1,63,BLUES,13,JYOTHY LABORATORIES,152
M3,7,T1002,717,1,40,CLEANERS - UTENSIL,22,PITAMBARI PRODS,245
M3,7,T1002,717,1,137,PACKAGED TEA,53,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1002,717,1,58,PRE-POST WASH PRODUCTS,55,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1002,717,1,78,TALCUM POWDERS,72,HINDUSTAN UNILEVER LIMITED,133
M1,9,T1003,10,1,10,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M2,29,T1003,204,2,10,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M2,29,T1003,204,4,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M2,29,T1003,204,2,72,MOSQUITO REPELLANTS CTG (8/93),46,GODREJ CONSUMER PRODS,110
M2,12,T1003,70,1,28,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M2,12,T1003,70,1,42,SPICES (03/04),69,S NARENDRA KUMAR,281
M3,7,T1003,74,1,74,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,9,T1004,5,1,5,BISCUITS - CORE & NON CORE,12,GARUDA POLYFEX FOOD PVT LTD,99
M2,16,T1004,96,1,96,VANASPATI CONS PACK (8/94),78,LIBERTY OIL MILLS,179
M3,7,T1004,55.2,12,4.6,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,9,T1005,22,1,2,CONFECTIONERY - TOFFEE/HBC,29,PARLE PRODS,234
M1,9,T1005,22,1,20,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M2,12,T1005,170,2,10,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M2,12,T1005,170,1,15,SCOURING PADS/SCRUBS,63,JYOTHY LABORATORIES,152
M2,12,T1005,170,3,45,VERMICELLI & NOODLE,79,NESTLE INDIA,221
M3,7,T1005,152,4,4.75,BISCUITS - CORE & NON CORE,12,I T C,136
M3,7,T1005,152,1,27,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M3,7,T1005,152,1,106,PACKAGED TEA,53,GUJ TEA PROCESSORS,115
M2,16,T1006,25,5,5,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M3,7,T1006,207,10,5,BISCUITS - CORE & NON CORE,12,I T C,136
M3,7,T1006,207,1,27,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M3,7,T1006,207,1,130,WASHING POWDERS/LIQUIDS,80,PROCTER & GAMBLE,253
M2,16,T1007,50,1,50,KETCHUPS/SAUCES,42,CAPITAL FOODS,52
M2,30,T1007,88,2,44,VERMICELLI & NOODLE,79,NESTLE INDIA,221
M3,7,T1007,303,1,87,CLEANERS - FLOOR,19,RECKITT BENCKISER,267
M3,7,T1007,303,1,58,PRE-POST WASH PRODUCTS,55,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1007,303,6,9.5,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1007,303,1,47,TOOTH PASTES,75,COLGATE-PALMOLIVE,61
M3,7,T1007,303,1,54,PRE-POST WASH PRODUCTS,55,HINDUSTAN UNILEVER LIMITED,133
M1,9,T1008,2,1,2,CONFECTIONERY - TOFFEE/HBC,29,PARLE PRODS,234
M3,7,T1008,40,8,5,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M1,24,T1009,248,1,45,CONFECTIONERY - TOFFEE/HBC,29,INBISCO INDIA PVT.LTD,137
M1,24,T1009,248,2,30,SQSH CRDLS & SFT DRNK-CONVERTD,70,MONDELEZ INTERNATIONAL,207
M1,24,T1009,248,1,98,SKIN CREAMS,67,HINDUSTAN UNILEVER LIMITED,133
M1,24,T1009,248,1,45,TOILET SOAPS (04/00),73,JOHNSON & JOHNSON,151
M2,30,T1009,382,2,94,BUTTER MARGR  (4/94),15,G C M M F,91
M2,30,T1009,382,1,118,CHEESE        (4/94),16,G C M M F,91
M2,30,T1009,382,1,76,SPICES (03/04),69,S NARENDRA KUMAR,281
M3,7,T1009,197.5,1,25,HAIR DYES     (1/76),37,GODREJ CONSUMER PRODS,110
M3,7,T1009,197.5,1,125,SKIN CREAMS,67,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1009,197.5,5,9.5,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,9,T101,165,11,15,BISCUITS - CORE & NON CORE,12,UNIBIC BISCUITS,323
M1,5,T101,200.28,1,106,PACKAGED TEA,53,HASMUKHRAI & CO,124
M1,5,T101,200.28,6,9.38,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,5,T101,200.28,1,38,COCONUT OIL PKTYP (08/02),23,MARICO INDS,199
M1,2,T101,63,1,63,VERMICELLI & NOODLE,79,NESTLE INDIA,221
M1,7,T101,1417,3,99,REFINED EDIBLE OILS-ALL PACKS,58,GULAB OIL FOODS,116
M1,7,T101,1417,2,89,CLEANERS - FLOOR,19,RECKITT BENCKISER,267
M1,7,T101,1417,1,225,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,7,T101,1417,1,39,COCONUT OIL PKTYP (08/02),23,MARICO INDS,199
M1,7,T101,1417,1,161,ANTISEPTIC LIQUIDS (4/97),7,RECKITT BENCKISER,267
M1,7,T101,1417,1,225,BUTTER MARGR  (4/94),15,G C M M F,91
M1,7,T101,1417,1,19,ALL IODISED SALT,4,TATA CHEM,316
M1,7,T101,1417,1,220,PACKAGED TEA,53,HASMUKHRAI & CO,124
M1,7,T101,1417,1,53,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,24,T1010,10,1,10,BISCUITS - CORE & NON CORE,12,MONDELEZ INTERNATIONAL,207
M2,16,T1010,434,1,110,PACKAGED TEA,53,GUJ TEA PROCESSORS,115
M2,16,T1010,434,3,108,REFINED EDIBLE OILS-ALL PACKS,58,CARGILL FOODS,53
M2,30,T1010,183,1,118,CHEESE        (4/94),16,G C M M F,91
M2,30,T1010,183,1,65,HAIR DYES     (1/76),37,L'OREAL INDIA,181
M3,7,T1010,197.5,1,25,HAIR DYES     (1/76),37,GODREJ CONSUMER PRODS,110
M3,7,T1010,197.5,5,9.5,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1010,197.5,1,125,SKIN CREAMS,67,HINDUSTAN UNILEVER LIMITED,133
M1,9,T1011,10,1,10,CONFECTIONERY - TOFFEE/HBC,29,PERFETTI VAN MELLE,242
M2,16,T1011,324,3,108,REFINED EDIBLE OILS-ALL PACKS,58,CARGILL FOODS,53
M3,7,T1011,27,1,27,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,9,T1012,20,1,20,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M3,7,T1012,77,4,9.5,DETERGENT CAKES/BARS,31,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1012,77,1,39,PACKAGED TEA,53,HASMUKHRAI & CO,124
M3,5,T1012,344,1,27,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M3,5,T1012,344,1,125,PACKAGED PURE GHEE,51,K B PRODUCTS PVT LTD,153
M3,5,T1012,344,1,55,PACKAGED TEA,53,TATA GLOBAL BEVERAGES LTD,317
M3,5,T1012,344,1,31,SPICES (03/04),69,TATA CHEM,316
M3,5,T1012,344,1,31,SPICES (03/04),69,S NARENDRA KUMAR,281
M3,5,T1012,344,7,5,CLEANERS - UTENSIL,22,HINDUSTAN UNILEVER LIMITED,133
M3,5,T1012,344,8,5,DETERGENT CAKES/BARS,31,SHIVANI DETERGENT PVT LTD,297
M2,16,T1013,257,1,19,ALL IODISED SALT,4,TATA CHEM,316
M2,16,T1013,257,1,110,CHEESE        (4/94),16,G C M M F,91
M2,16,T1013,257,1,108,PACKAGED TEA,53,GIRNAR FOOD & BEVER,104
M2,16,T1013,257,2,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M3,7,T1013,450.5,22,4.75,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M3,7,T1013,450.5,2,14,SCOURING PADS/SCRUBS,63,3M INDIA LTD,1
M3,7,T1013,450.5,1,80,ANTISEPTIC LIQUIDS (4/97),7,RECKITT BENCKISER,267
M3,7,T1013,450.5,1,66,SHAMPOO - BY SEGMENTS,64,PROCTER & GAMBLE,253
M3,7,T1013,450.5,2,9.5,WASHING POWDERS/LIQUIDS,80,PROCTER & GAMBLE,253
M3,7,T1013,450.5,1,9.5,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1013,450.5,1,9.5,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1013,450.5,1,96,TOILET SOAPS (04/00),73,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1013,450.5,2,19,TOILET SOAPS (04/00),73,GODREJ CONSUMER PRODS,110
M1,24,T1014,12,1,12,VERMICELLI & NOODLE,79,NESTLE INDIA,221
M2,16,T1014,690,2,75,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M2,16,T1014,690,1,540,REFINED EDIBLE OILS-ALL PACKS,58,ADANI WILMAR,6
M3,7,T1014,176,28,1,SHAMPOO - BY SEGMENTS,64,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1014,176,1,130,TOILET SOAPS (04/00),73,CHOLAYIL PVT LTD,60
M3,7,T1014,176,1,18,ALL IODISED SALT,4,TATA CHEM,316
M1,9,T1015,80,1,80,SKIN CREAMS,67,NIVEA INDIA,224
M1,24,T1015,33,1,33,HAIR OILS PKTP(8/02),38,BAJAJ CORP LTD.,35
M2,16,T1015,129,1,94,TOOTH PASTES,75,HINDUSTAN UNILEVER LIMITED,133
M2,16,T1015,129,1,35,TOILET SOAPS (04/00),73,GODREJ CONSUMER PRODS,110
M2,30,T1015,20,2,10,READY TO EAT,57,AGRO TECH FOODS,12
M3,7,T1015,462.5,1,130,TALCUM POWDERS,72,GODREJ CONSUMER PRODS,110
M3,7,T1015,462.5,2,4.75,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M3,7,T1015,462.5,4,9.5,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M3,7,T1015,462.5,2,9.5,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M3,7,T1015,462.5,1,28,SCOURING PADS/SCRUBS,63,3M INDIA LTD,1
M3,7,T1015,462.5,1,200,PRE-POST WASH PRODUCTS,55,HINDUSTAN UNILEVER LIMITED,133
M3,7,T1015,462.5,2,19,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,24,T1016,60,1,30,HAIR DYES     (1/76),37,GODREJ CONSUMER PRODS,110
M1,24,T1016,60,3,10,CLEANERS - UTENSIL,22,PATANJALI AYURVED LTD,236
M2,16,T1016,50,2,10,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M2,16,T1016,50,1,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M2,16,T1016,50,2,5,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M2,16,T1016,50,1,10,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M2,17,T1017,10,1,10,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M3,8,T1017,229,2,50,WASHING POWDERS/LIQUIDS,80,PROCTER & GAMBLE,253
M3,8,T1017,229,3,43,CLEANERS - UTENSIL,22,HINDUSTAN UNILEVER LIMITED,133
M1,9,T1018,10,1,10,BISCUITS - CORE & NON CORE,12,I T C,136
M2,17,T1018,185,4,5,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M2,17,T1018,185,1,10,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M2,17,T1018,185,3,25,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M2,17,T1018,185,1,20,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M2,17,T1018,185,1,20,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M2,17,T1018,185,2,20,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M3,8,T1018,116.5,1,9.5,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M3,8,T1018,116.5,1,29,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M3,8,T1018,116.5,4,9.5,BISCUITS - CORE & NON CORE,12,I T C,136
M3,8,T1018,116.5,2,5,SALTY SNACKS (2/97),61,BALAJI WAFERS P L,38
M3,8,T1018,116.5,1,20,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M3,8,T1018,116.5,1,10,SALTY SNACKS (2/97),61,BALAJI WAFERS P L,38
M1,9,T1019,15,1,5,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M1,9,T1019,15,2,5,CONFECTIONERY - LOLLIPOP/FMR,28,PERFETTI VAN MELLE,242
M2,30,T1019,20,1,10,SALTY SNACKS (2/97),61,HALDIRAM,120
M2,30,T1019,20,1,10,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M3,8,T1019,237,1,130,TOILET SOAPS (04/00),73,CHOLAYIL PVT LTD,60
M3,8,T1019,237,6,11.5,SOAP CAKES/BARS,68,HINDUSTAN UNILEVER LIMITED,133
M3,8,T1019,237,1,38,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M1,9,T102,40,1,10,SALTY SNACKS (2/97),61,BALAJI WAFERS P L,38
M1,9,T102,40,3,10,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M1,4,T102,22,1,22,BLUES,13,JYOTHY LABORATORIES,152
M1,5,T102,99,4,11.5,SOAP CAKES/BARS,68,HINDUSTAN UNILEVER LIMITED,133
M1,5,T102,99,1,53,WASHING POWDERS/LIQUIDS,80,NIRMA LIMITED,223
M1,7,T102,289,1,130,PACKAGED TEA,53,HINDUSTAN UNILEVER LIMITED,133
M1,7,T102,289,1,159,REFINED EDIBLE OILS-ALL PACKS,58,MARICO INDS,199
M1,9,T1020,10,1,10,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M1,24,T1020,10,1,10,TOILET SOAPS (04/00),73,RECKITT BENCKISER,267
M3,8,T1020,107,6,9.5,DETERGENT CAKES/BARS,31,HINDUSTAN UNILEVER LIMITED,133
M3,8,T1020,107,1,50,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M2,17,T1021,1378,1,198,COCONUT OIL PKTYP (08/02),23,MARICO INDS,199
M2,17,T1021,1378,1,275,PACKAGED ATTA (1/95),50,I T C,136
M2,17,T1021,1378,1,41,SPICES (03/04),69,S NARENDRA KUMAR,281
M2,17,T1021,1378,2,110,REFINED EDIBLE OILS-ALL PACKS,58,ADANI WILMAR,6
M2,17,T1021,1378,1,215,PACKAGED PURE GHEE,51,G C M M F,91
M2,17,T1021,1378,1,68,DETERGENT CAKES/BARS,31,HINDUSTAN UNILEVER LIMITED,133
M2,17,T1021,1378,3,47,CLEANERS - UTENSIL,22,JYOTHY LABORATORIES,152
M2,17,T1021,1378,1,220,PACKAGED TEA,53,HASMUKHRAI & CO,124
M3,10,T1021,400,5,80,CHEESE        (4/94),16,G C M M F,91
M3,8,T1021,106,2,53,SOAP CAKES/BARS,68,LAXMI SOAPS,178
M1,24,T1022,80,2,40,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M3,10,T1022,200,100,2,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M3,8,T1022,92,1,35,HAIR OILS PKTP(8/02),38,EMAMI,80
M3,8,T1022,92,1,38,PRICKLY HEAT POWDER,56,RECKITT BENCKISER,267
M3,8,T1022,92,1,19,COCONUT OIL PKTYP (08/02),23,MARICO INDS,199
M1,9,T1023,24,2,12,VERMICELLI & NOODLE,79,NESTLE INDIA,221
M2,17,T1023,20,2,10,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M2,30,T1023,30,2,15,CHOCOLATE,17,NESTLE INDIA,221
M3,10,T1023,450,2,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M3,10,T1023,450,4,10,BISCUITS - CORE & NON CORE,12,MONDELEZ INTERNATIONAL,207
M3,10,T1023,450,1,120,LIQUID TOILET SOAPS  (8/93),43,COLGATE-PALMOLIVE,61
M3,10,T1023,450,2,5,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M3,10,T1023,450,1,50,PACKAGED ATTA (1/95),50,GENERAL MILLS,101
M3,10,T1023,450,1,210,PACKAGED RICE (1/95),52,AMAR SINGH CHAWALWAL,14
M3,8,T1023,75,15,5,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M1,9,T1024,10,1,10,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M1,24,T1024,46,1,46,BUTTER MARGR  (4/94),15,G C M M F,91
M2,17,T1024,244,2,122,VANASPATI CONS PACK (8/94),78,CARGILL FOODS,53
M3,10,T1024,363,2,69,CHEESE        (4/94),16,G C M M F,91
M3,10,T1024,363,1,225,BUTTER MARGR  (4/94),15,G C M M F,91
M3,8,T1024,106,2,53,PACKAGED TEA,53,TATA GLOBAL BEVERAGES LTD,317
M1,24,T1025,89,2,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,24,T1025,89,1,45,VERMICELLI & NOODLE,79,NESTLE INDIA,221
M1,24,T1025,89,2,12,VERMICELLI & NOODLE,79,NESTLE INDIA,221
M2,17,T1025,160,1,130,SKIN CREAMS,67,JOHNSON & JOHNSON,151
M2,17,T1025,160,1,30,CLEANERS - UTENSIL,22,HINDUSTAN UNILEVER LIMITED,133
M3,10,T1025,170,1,130,KETCHUPS/SAUCES,42,HINDUSTAN UNILEVER LIMITED,133
M3,10,T1025,170,4,10,CHOCOLATE,17,MONDELEZ INTERNATIONAL,207
M3,8,T1025,134,1,34,RUBEFACIENT,59,GLAXO SMITHKLINE,106
M3,8,T1025,134,1,100,TOOTH PASTES,75,GLAXO SMITHKLINE,106
M1,9,T1026,10,1,10,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M1,24,T1026,12,1,12,VERMICELLI & NOODLE,79,NESTLE INDIA,221
M2,30,T1026,300,1,220,PACKAGED ATTA (1/95),50,I T C,136
M2,30,T1026,300,2,40,READY TO EAT,57,M T R FOOD PRODS,188
M3,10,T1026,50,1,50,AGARBATTI & DHOOPBATTI,2,N RANGA RAO & SONS,213
M3,8,T1026,282,1,74,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M3,8,T1026,282,1,208,BEVERAGES,11,MONDELEZ INTERNATIONAL,207
M2,17,T1027,110,2,10,HAIR OILS PKTP(8/02),38,BAJAJ CORP LTD.,35
M2,17,T1027,110,1,55,PRE-POST WASH PRODUCTS,55,RECKITT BENCKISER,267
M2,17,T1027,110,1,35,SALTY SNACKS (2/97),61,HALDIRAM,120
M2,30,T1027,235,1,235,SUGAR SUBSTITUTE (11/05),71,ZYDUS WELLNESS LTD,354
M3,10,T1027,145,1,95,MILK POWDERS,45,NESTLE INDIA,221
M3,10,T1027,145,1,50,PACKAGED TEA,53,HINDUSTAN UNILEVER LIMITED,133
M3,8,T1027,86,1,86,CLEANERS - FLOOR,19,RECKITT BENCKISER,267
M1,9,T1028,827,6,10,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M1,9,T1028,827,10,10,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M1,9,T1028,827,2,20,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M1,9,T1028,827,1,10,SALTY SNACKS (2/97),61,PEPSICO INDIA,241
M1,9,T1028,827,9,3,SHAMPOO - BY SEGMENTS,64,HINDUSTAN UNILEVER LIMITED,133
M1,9,T1028,827,1,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,9,T1028,827,1,30,BISCUITS - CORE & NON CORE,12,I T C,136
M1,9,T1028,827,1,30,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,9,T1028,827,5,5,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M1,9,T1028,827,5,10,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M1,9,T1028,827,5,10,BISCUITS - CORE & NON CORE,12,PARLE PRODS,234
M1,9,T1028,827,5,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,9,T1028,827,5,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,9,T1028,827,2,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,9,T1028,827,5,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,9,T1028,827,1,225,BUTTER MARGR  (4/94),15,G C M M F,91
M3,8,T1028,353,1,87,CLEANERS - FLOOR,19,RECKITT BENCKISER,267
M3,8,T1028,353,1,130,LIQUID TOILET SOAPS  (8/93),43,RECKITT BENCKISER,267
M3,8,T1028,353,1,56,PRE-POST WASH PRODUCTS,55,HINDUSTAN UNILEVER LIMITED,133
M3,8,T1028,353,1,80,CLEANERS - TOILET,21,RECKITT BENCKISER,267
M2,17,T1029,470,1,25,SPICES (03/04),69,S NARENDRA KUMAR,281
M2,17,T1029,470,1,445,WASHING POWDERS/LIQUIDS,80,HINDUSTAN UNILEVER LIMITED,133
M3,8,T1029,91,1,38,COCONUT OIL PKTYP (08/02),23,MARICO INDS,199
M3,8,T1029,91,1,53,PACKAGED TEA,53,TATA GLOBAL BEVERAGES LTD,317
M1,9,T103,506,3,72,MOSQUITO REPELLANTS CTG (8/93),46,S C JOHNSON,278
M1,9,T103,506,2,145,COFFEE,24,NESTLE INDIA,221
M1,4,T103,196,2,10,BISCUITS - CORE & NON CORE,12,BRITANNIA INDS,49
M1,4,T103,196,1,94,TOOTH PASTES,75,HINDUSTAN UNILEVER LIMITED,133
M1,4,T103,196,1,82,CLEANERS - TOILET,21,HINDUSTAN UNILEVER LIMITED,133
M1,5,T103,263,1,106,PACKAGED TEA,53,GIRNAR FOOD & BEVER,104
